id,group,split,language,intent,question,should_abstain,match,expected_sources,must_mention,source_urls,source_excerpts,uncertainties,verdict (ok / fix / drop),corrected_expected_sources,verified_by,verified_on,reviewer_notes
cl-readiness-willingness,g-specific-performance,test,en,case_law,"In a suit for specific performance, what must the buyer show about being ready and willing to perform?",False,any,"U.N. KRISHNAMURTHY (SINCE DECEASED) THR. LRS. versus A. M. KRISHNAMURTHY (2022-07-12), [2022] 13 S.C.R. 250; 2022 INSC 714 | C. HARIDASAN versus ANAPPATH PARAKKATTU VASUDEVA KURUP & OTHERS (2023-01-13), [2023] 3 S.C.R. 244; 2023 INSC 37 | GADDIPATI DIVIJA & ANR. versus PATHURI SAMRAJYAM & ORS. (2023-04-18), [2023] 3 S.C.R. 802; 2023 INSC 385 | SUGHAR SINGH versus HARI SINGH (DEAD) THROUGH LRS. & ORS. (2021-10-26), [2021] 10 S.C.R. 287; 2021 INSC 672",willing,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2022/english/2022_13_250_273_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2023/english/2023_3_244_281_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2023/english/2023_3_802_819_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2021/english/2021_10_287_308_EN.pdf,"[U.N. KRISHNAMURTHY (SINCE DECEASED) THR. LRS. versus A. M. KRISHNAMURTHY (2022-07-12), [2022] 13 S.C.R. 250; 2022 INSC 714] (judgment: check the passage the question relies on) || [C. HARIDASAN versus ANAPPATH PARAKKATTU VASUDEVA KURUP & OTHERS (2023-01-13), [2023] 3 S.C.R. 244; 2023 INSC 37] (judgment: check the passage the question relies on) || [GADDIPATI DIVIJA & ANR. versus PATHURI SAMRAJYAM & ORS. (2023-04-18), [2023] 3 S.C.R. 802; 2023 INSC 385] (judgment: check the passage the question relies on) || [SUGHAR SINGH versus HARI SINGH (DEAD) THROUGH LRS. & ORS. (2021-10-26), [2021] 10 S.C.R. 287; 2021 INSC 672] (judgment: check the passage the question relies on)",draft written by Claude; expected sources copied from the ingested text; note: any one of these judgments is acceptable,,,,,
cl-part-performance,cl-part-performance,dev,en,case_law,How has the Supreme Court applied the doctrine of part performance under section 53A of the Transfer of Property Act?,False,any,"VASANTHI versus VENUGOPAL (D) THR. LRS. (2017-03-21), [2017] 4 S.C.R. 919; 2017 INSC 240 | MADHUKAR NIVRUTTI JAGTAP & ORS. versus SMT. PRAMILABAI CHANDULAL PARANDEKAR & ORS. (2019-08-13), [2019] 10 S.C.R. 31; 2019 INSC 892 | Transfer of Property Act, 1882 s. 53A",,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2017/english/2017_4_919_933_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2019/english/2019_10_31_72_EN.pdf | https://indiacode.gov.in/handle/123456789/496421,"[VASANTHI versus VENUGOPAL (D) THR. LRS. (2017-03-21), [2017] 4 S.C.R. 919; 2017 INSC 240] (judgment: check the passage the question relies on) || [MADHUKAR NIVRUTTI JAGTAP & ORS. versus SMT. PRAMILABAI CHANDULAL PARANDEKAR & ORS. (2019-08-13), [2019] 10 S.C.R. 31; 2019 INSC 892] (judgment: check the passage the question relies on) || [Transfer of Property Act, 1882 s. 53A] [53A. Part performance.—Where any person contracts to transfer for consideration any immoveable property by writing signed by him or on his behalf from which the terms necessary to constitute the transfer can be ascertained with reasonable certainty, and the transferee has, in part performance of the contract, taken possession of the property or any part thereof, or the transferee, being already in possession, continues in possession in part performance of the contract and has done some act in …",draft written by Claude; expected sources copied from the ingested text,,,,,
cl-res-judicata,g-cpc-11,test,en,case_law,"When does res judicata bar a second suit, according to Supreme Court judgments?",False,any,"CANARA BANK versus N. G. SUBBARAYA SETTY & ANR. (2018-04-20), [2018] 3 S.C.R. 884; 2018 INSC 385 | THE JAMIA MASJID versus SRI K V RUDRAPPA (SINCE DEAD) BY LRS. & ORS. (2021-09-23), [2021] 11 S.C.R. 672; 2021 INSC 528 | Code of Civil Procedure, 1908 s. 11 (part 1 of 2)",,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2018/english/2018_3_884_926_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2021/english/2021_11_672_719_EN.pdf | https://indiacode.gov.in/handle/123456789/496430,"[CANARA BANK versus N. G. SUBBARAYA SETTY & ANR. (2018-04-20), [2018] 3 S.C.R. 884; 2018 INSC 385] (judgment: check the passage the question relies on) || [THE JAMIA MASJID versus SRI K V RUDRAPPA (SINCE DEAD) BY LRS. & ORS. (2021-09-23), [2021] 11 S.C.R. 672; 2021 INSC 528] (judgment: check the passage the question relies on) || [Code of Civil Procedure, 1908 s. 11 (part 1 of 2)] 11. Res judicata.—No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, or between parties under whom they or any of them claim, litigating under the same title, in a Court competent to try such subsequent suit or the suit in which such issue has been subsequently raised, and has been heard and finally decided by such Court. Explanation I.—The expression “former suit” …",draft written by Claude; expected sources copied from the ingested text,,,,,
cl-unregistered-agreement,g-reg-49,test,en,case_law,Can an unregistered agreement to sell be used as evidence in a suit for specific performance?,False,any,"Registration Act, 1908 s. 49 | KORUKONDA CHALAPATHI RAO & ANR. versus KORUKONDA ANNAPURNA SAMPATH KUMAR (2021-10-01), [2021] 11 S.C.R. 836; 2021 INSC 586 | R. HEMALATHA versus KASHTHURI (2023-04-10), [2023] 2 S.C.R. 834; 2023 INSC 336",specific performance,https://indiacode.gov.in/handle/123456789/496068 | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2021/english/2021_11_836_859_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2023/english/2023_2_834_845_EN.pdf,"[Registration Act, 1908 s. 49] 49. Effect of non-registration of documents required to be registered.—No document required by section 17 [or by any provision of the Transfer of Property Act, 1882 (4 of 1882)], to be registered shall— (a) affect any immovable property comprised therein, or (b) confer any power to adopt, or (c) be received as evidence of any transaction affecting such property or conferring such power, unless it has been registered: [Provided that an unregistered document affecting immovable property and … || [KORUKONDA CHALAPATHI RAO & ANR. versus KORUKONDA ANNAPURNA SAMPATH KUMAR (2021-10-01), [2021] 11 S.C.R. 836; 2021 INSC 586] (judgment: check the passage the question relies on) || [R. HEMALATHA versus KASHTHURI (2023-04-10), [2023] 2 S.C.R. 834; 2023 INSC 336] (judgment: check the passage the question relies on)",draft written by Claude; expected sources copied from the ingested text; note: s. 49 proviso; moved from dev on 2026-09-24 so paraphrase group g-reg-49 sits in one split (DECISIONS D38),,,,,
tr-crpc-replaced,g-bnss-531,test,en,explain,Which law replaced the Code of Criminal Procedure?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 531",Bharatiya Nagarik Suraksha Sanhita,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 531] 531. Repeal and savings.—(1) The Code of Criminal Procedure, 1973 (2 of 1974) is hereby repealed. (2) Notwithstanding such repeal— (a) if, immediately before the date on which this Sanhita comes into force, there is any appeal, application, trial, inquiry or investigation pending, then, such appeal, application, trial, inquiry or investigation shall be disposed of, continued, held or made, as the case may be, in accordance with the provisions of the Code of Criminal Procedure, 1973 (2 of 1974), …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 531(1),,,,,
tr-ipc-in-force,tr-ipc-in-force,dev,en,explain,Is the Indian Penal Code still in force?,False,all,"Bharatiya Nyaya Sanhita, 2023 s. 358",Bharatiya Nyaya Sanhita,https://indiacode.gov.in/handle/123456789/496548,"[Bharatiya Nyaya Sanhita, 2023 s. 358] 358. Repeal and savings.—(1) The Indian Penal Code (45 of 1860) is hereby repealed. (2) Notwithstanding the repeal of the Code referred to in sub-section (1), it shall not affect,— (a) the previous operation of the Code so repealed or anything duly done or suffered thereunder; or (b) any right, privilege, obligation or liability acquired, accrued or incurred under the Code so repealed; or (c) any penalty, or punishment incurred in respect of any offences committed against the Code so repealed; …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNS s. 358(1); IPC text is not ingested,,,,,
tr-pending-trial,g-bnss-531,test,en,explain,What happens to a criminal trial that was pending under the CrPC when the new code came into force?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 531",pending,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 531] 531. Repeal and savings.—(1) The Code of Criminal Procedure, 1973 (2 of 1974) is hereby repealed. (2) Notwithstanding such repeal— (a) if, immediately before the date on which this Sanhita comes into force, there is any appeal, application, trial, inquiry or investigation pending, then, such appeal, application, trial, inquiry or investigation shall be disposed of, continued, held or made, as the case may be, in accordance with the provisions of the Code of Criminal Procedure, 1973 (2 of 1974), …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 531(2)(a),,,,,
tr-evidence-act,tr-evidence-act,dev,en,explain,Which law now governs evidence in court instead of the Indian Evidence Act?,False,all,"Bharatiya Sakshya Adhiniyam, 2023 s. 170",Bharatiya Sakshya Adhiniyam,https://indiacode.gov.in/handle/123456789/496549,"[Bharatiya Sakshya Adhiniyam, 2023 s. 170] 170. Repeal and savings.—(1) The Indian Evidence Act, 1872 (1 of 1872) is hereby repealed. (2) Notwithstanding such repeal, if, immediately before the date on which this Adhiniyam comes into force, there is any application, trial, inquiry, investigation, proceeding or appeal pending, then, such application, trial, inquiry, investigation, proceeding or appeal shall be dealt with under the provisions of the Indian Evidence Act, 1872 (1 of 1872), as in force immediately before such commencement, …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BSA s. 170(1),,,,,
tr-438-anticipatory,g-anticipatory-bail,dev,en,statute_lookup,Is anticipatory bail under section 438 CrPC still available?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482",,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482] 482. Direction for grant of bail to person apprehending arrest.—(1) When any person has reason to believe that he may be arrested on an accusation of having committed a non-bailable offence, he may apply to the High Court or the Court of Session for a direction under this section; and that Court may, if it thinks fit, direct that in the event of such arrest, he shall be released on bail. (2) When the High Court or the Court of Session makes a direction under sub-section (1), it may include such …","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['anticipatory-bail'] (data/registry/legal_terms.yaml), added after seeing failures; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: CrPC text not ingested; the answer must not map section numbers except as found in the sources; moved from test on 2026-09-24 so paraphrase group g-anticipatory-bail sits in one split (DECISIONS D38)",,,,,
hi-reg-023-time-limit,g-reg-23,dev,hi,statute_lookup,रजिस्ट्री के लिए दस्तावेज़ कितने समय में प्रस्तुत करना होता है?,False,all,"Registration Act, 1908 s. 23",,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 23] 23. Time for presenting documents.—Subject to the provisions contained in sections 24, 25 and 26, no document other than a will shall be accepted for registration unless presented for that purpose to the proper officer within four months from the date of its execution: Provided that a copy a of a decree or order may be presented within four months from the day on which the decree or order was made, or, where it is appealable, within four months from the day on which it becomes final.",draft written by Claude; expected sources copied from the ingested text; phrasing drafted by Claude: needs a native speaker; note: Hindi phrasing drafted by Claude: a Hindi speaker must check it,,,,,
hi-cpa-069-limitation,g-cpa-69,test,hi,statute_lookup,उपभोक्ता शिकायत कितने समय के भीतर दर्ज करनी होती है?,False,all,"Consumer Protection Act, 2019 s. 69",,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 69] 69. Limitation period.—(1) The District Commission, the State Commission or the National Commission shall not admit a complaint unless it is filed within two years from the date on which the cause of action has arisen. (2) Notwithstanding anything contained in sub-section (1), a complaint may be entertained after the period specified in sub-section (1), if the complainant satisfies the District Commission, the State Commission or the National Commission, as the case may be, that he had …",draft written by Claude; expected sources copied from the ingested text; phrasing drafted by Claude: needs a native speaker; note: Hindi phrasing drafted by Claude: needs a Hindi speaker,,,,,
hi-tpa-054-sale,g-tpa-54,dev,hi,statute_lookup,अचल संपत्ति की बिक्री किसे कहते हैं?,False,all,"Transfer of Property Act, 1882 s. 54",,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 54] 54. “Sale” defined.—“Sale” is a transfer of ownership in exchange for a price paid or promised or part-paid and part-promised. Sale how made.—Such transfer, in the case of tangible immoveable property of the value of one hundred rupees and upwards, or in the case of a reversion or other intangible thing, can be made only by a registered instrument. In the case of tangible immoveable property of a value less than one hundred rupees, such transfer may be made either by a registered instrument or …",draft written by Claude; expected sources copied from the ingested text; phrasing drafted by Claude: needs a native speaker; note: Hindi phrasing drafted by Claude: needs a Hindi speaker,,,,,
hi-bnss-482-anticipatory,g-anticipatory-bail,dev,hi,procedure,अग्रिम जमानत के लिए आवेदन कहाँ किया जा सकता है?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482",,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482] 482. Direction for grant of bail to person apprehending arrest.—(1) When any person has reason to believe that he may be arrested on an accusation of having committed a non-bailable offence, he may apply to the High Court or the Court of Session for a direction under this section; and that Court may, if it thinks fit, direct that in the event of such arrest, he shall be released on bail. (2) When the High Court or the Court of Session makes a direction under sub-section (1), it may include such …","draft written by Claude; expected sources copied from the ingested text; phrasing drafted by Claude: needs a native speaker; retrieval uses term expansion ['anticipatory-bail'] (data/registry/legal_terms.yaml), added after seeing failures; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: Hindi phrasing drafted by Claude: needs a Hindi speaker; moved from test on 2026-09-24 so paraphrase group g-anticipatory-bail sits in one split (DECISIONS D38)",,,,,
hi-ica-073-damages,g-ica-73,test,hi,explain,अनुबंध तोड़े जाने पर किस प्रकार का मुआवजा मिलता है?,False,all,"Indian Contract Act, 1872 s. 73 (part 1 of 7)",,https://indiacode.gov.in/handle/123456789/496413,"[Indian Contract Act, 1872 s. 73 (part 1 of 7)] 73.Compensation for loss or damage caused by breach of contract.—When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach, or which the parties knew, when they made the contract, to be likely to result from the breach of it. Such compensation is not to be given for any remote and indirect …",draft written by Claude; expected sources copied from the ingested text; phrasing drafted by Claude: needs a native speaker; note: Hindi phrasing drafted by Claude: needs a Hindi speaker; moved from dev on 2026-09-24 so paraphrase group g-ica-73 sits in one split (DECISIONS D38),,,,,
oos-passport,oos-passport,dev,en,out_of_scope,How do I apply for a passport?,True,all,,,,,draft written by Claude; expected sources copied from the ingested text; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: nothing on passports in the corpus,,,,,
oos-income-tax,oos-income-tax,test,en,out_of_scope,What is the income tax rate for salaried employees this year?,True,all,,,,,draft written by Claude; expected sources copied from the ingested text; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: no tax law in the corpus,,,,,
oos-visa,oos-visa,dev,en,out_of_scope,What documents do I need to apply for a Schengen visa?,True,all,,,,,"draft written by Claude; expected sources copied from the ingested text; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: Replaced two earlier drafts that turned out not to be out of corpus (2026-09-24): divorce (matrimonial judgments such as N. Rajendran v. S. Valli are ingested) and trademark registration (Canara Bank v. N. G. Subbaraya Setty quotes the Trade Marks Act). Checked by content of the top passages, not by score.",,,,,
oos-driving-licence,oos-driving-licence,test,en,out_of_scope,What documents do I need to get a driving licence?,True,all,,,,,draft written by Claude; expected sources copied from the ingested text; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: Motor Vehicles Act not ingested,,,,,
oos-gst,oos-gst,dev,en,out_of_scope,How is GST calculated on a restaurant bill?,True,all,,,,,draft written by Claude; expected sources copied from the ingested text; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: GST law not ingested,,,,,
hs-arrest-grounds,hs-arrest-grounds,test,en,explain,The police arrested my brother last night and will not tell us why. What are his rights?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 47",grounds,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 47] 47. Person arrested to be informed of grounds of arrest and of right to bail.—(1) Every police officer or other person arresting any person without warrant shall forthwith communicate to him full particulars of the offence for which he is arrested or other grounds for such arrest. (2) Where a police officer arrests without warrant any person other than a person accused of a non-bailable offence, he shall inform the person arrested that he is entitled to be released on bail and that he may …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 47; must lead with the safety block,,,,,
hs-eviction-tomorrow,g-tpa-106,dev,en,explain,My landlord says he will throw me out of the house tomorrow without any notice. What does the law say?,False,all,"Transfer of Property Act, 1882 s. 106",notice,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 106] [106. Duration of certain leases in absence of written contract or local usage.—(1) In the absence of a contract or local law or usage to the contrary, a lease of immovable property for agricultural or manufacturing purposes shall be deemed to be a lease from year to year, terminable, on the part of either lessor or lessee, by six months’ notice; and a lease of immovable property for any other purpose shall be deemed to be a lease from month to month, terminable, on the part of either lessor or …","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['eviction', 'landlord-tenant'] (data/registry/legal_terms.yaml), added after seeing failures; the evidence threshold (0.10) was chosen after seeing this question's score (DECISIONS D27); note: TPA s. 106; state rent-control laws not ingested",,,,,
hs-limitation-tomorrow,g-cpa-69,test,en,explain,My consumer complaint deadline ends tomorrow. What is the limitation period and can it be extended?,False,all,"Consumer Protection Act, 2019 s. 69",sufficient cause,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 69] 69. Limitation period.—(1) The District Commission, the State Commission or the National Commission shall not admit a complaint unless it is filed within two years from the date on which the cause of action has arisen. (2) Notwithstanding anything contained in sub-section (1), a complaint may be entertained after the period specified in sub-section (1), if the complainant satisfies the District Commission, the State Commission or the National Commission, as the case may be, that he had …",draft written by Claude; expected sources copied from the ingested text; note: CPA s. 69(2),,,,,
